route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
292-180,132-Blocks-Weekday-50,10761482-132-Blocks-Weekday-50,"Hillsdale Mall",2921003,1,,2921169
292-180,132-Blocks-Weekday-50,10761483-132-Blocks-Weekday-50,"San Francisco",2921006,0,,2921168
292-180,132-Blocks-Weekday-50,10761484-132-Blocks-Weekday-50,"Hillsdale Mall",2921005,1,,2921169
292-180,132-Blocks-Weekday-50,10761485-132-Blocks-Weekday-50,"San Francisco",2921008,0,,2921168
292-180,132-Blocks-Weekday-50,10761486-132-Blocks-Weekday-50,"Hillsdale Mall",2921007,1,,2921169
292-180,132-Blocks-Weekday-50,10761487-132-Blocks-Weekday-50,"San Francisco",2921010,0,,2921168
292-180,132-Blocks-Weekday-50,10761488-132-Blocks-Weekday-50,"Hillsdale Mall",2921009,1,,2921169
292-180,132-Blocks-Weekday-50,10761489-132-Blocks-Weekday-50,"San Francisco",2921012,0,,2921168
292-180,132-Blocks-Weekday-50,10761490-132-Blocks-Weekday-50,"Hillsdale Mall",2921011,1,,2921169
292-180,132-Blocks-Weekday-50,10761491-132-Blocks-Weekday-50,"San Francisco",2921014,0,,2921168
292-180,132-Blocks-Weekday-50,10761492-132-Blocks-Weekday-50,"San Francisco",2921026,0,,2921168
292-180,132-Blocks-Weekday-50,10761493-132-Blocks-Weekday-50,"Hillsdale Mall",2921013,1,,2921169
292-180,132-Blocks-Weekday-50,10761494-132-Blocks-Weekday-50,"San Francisco",2921016,0,,2921168
292-180,132-Blocks-Weekday-50,10761495-132-Blocks-Weekday-50,"Hillsdale Mall",2921015,1,,2921169
292-180,132-Blocks-Weekday-50,10761496-132-Blocks-Weekday-50,"San Francisco",2921018,0,,2921168
292-180,132-Blocks-Weekday-50,10761497-132-Blocks-Weekday-50,"Hillsdale Mall",2921017,1,,2921169
292-180,132-Blocks-Weekday-50,10761498-132-Blocks-Weekday-50,"San Francisco",2921020,0,,2921168
292-180,132-Blocks-Weekday-50,10761499-132-Blocks-Weekday-50,"Hillsdale Mall",2921019,1,,2921169
292-180,132-Blocks-Weekday-50,10761500-132-Blocks-Weekday-50,"San Francisco",2921022,0,,2921168
292-180,132-Blocks-Weekday-50,10761501-132-Blocks-Weekday-50,"Hillsdale Mall",2921021,1,,2921169
292-180,132-Blocks-Weekday-50,10761502-132-Blocks-Weekday-50,"San Francisco",2921024,0,,2921168
292-180,132-Blocks-Weekday-50,10761503-132-Blocks-Weekday-50,"Hillsdale Mall",2921023,1,,2921169
397-180,132-Blocks-Weekday-50,10761523-132-Blocks-Weekday-50,"Palo Alto Transit Center",3971003,1,,3970483
397-180,132-Blocks-Weekday-50,10761524-132-Blocks-Weekday-50,"San Francisco",3971002,0,,3970480
397-180,132-Blocks-Weekday-50,10761525-132-Blocks-Weekday-50,"Palo Alto Transit Center",3971005,1,,3970483
397-180,132-Blocks-Weekday-50,10761526-132-Blocks-Weekday-50,"San Francisco",3971004,0,,3970480
397-180,132-Blocks-Weekday-50,10761527-132-Blocks-Weekday-50,"Palo Alto Transit Center",3971007,1,,3970483
397-180,132-Blocks-Weekday-50,10761528-132-Blocks-Weekday-50,"San Francisco",3971006,0,,3970480
397-180,132-Blocks-Weekday-50,10761529-132-Blocks-Weekday-50,"Palo Alto Transit Center",3971001,1,,3970483
398-180,132-Blocks-Weekday-50,10761533-132-Blocks-Weekday-50,"San Francisco",3981002,0,,3980226
398-180,132-Blocks-Weekday-50,10761534-132-Blocks-Weekday-50,"San Francisco",3981004,0,,3980226
398-180,132-Blocks-Weekday-50,10761535-132-Blocks-Weekday-50,"San Francisco",3981006,0,,3980226
398-180,132-Blocks-Weekday-50,10761536-132-Blocks-Weekday-50,"San Francisco",3981008,0,,3980226
398-180,132-Blocks-Weekday-50,10761537-132-Blocks-Weekday-50,"San Francisco",3981010,0,,3980226
398-180,132-Blocks-Weekday-50,10761538-132-Blocks-Weekday-50,"San Francisco",3981012,0,,3980226
398-180,132-Blocks-Weekday-50,10761539-132-Blocks-Weekday-50,"San Francisco",3981014,0,,3980226
398-180,132-Blocks-Weekday-50,10761540-132-Blocks-Weekday-50,"San Francisco",3981016,0,,3980226
398-180,132-Blocks-Weekday-50,10761541-132-Blocks-Weekday-50,"San Francisco",3981018,0,,3980226
398-180,132-Blocks-Weekday-50,10761542-132-Blocks-Weekday-50,"San Francisco",3981020,0,,3980226
398-180,132-Blocks-Weekday-50,10761543-132-Blocks-Weekday-50,"San Francisco",3981022,0,,3980226
398-180,132-Blocks-Weekday-50,10761544-132-Blocks-Weekday-50,"San Francisco",3981024,0,,3980226
398-180,132-Blocks-Weekday-50,10761545-132-Blocks-Weekday-50,"San Francisco",3981026,0,,3980226
398-180,132-Blocks-Weekday-50,10761546-132-Blocks-Weekday-50,"San Francisco",3981028,0,,3980226
398-180,132-Blocks-Weekday-50,10761547-132-Blocks-Weekday-50,"San Francisco",3981030,0,,3980226
398-180,132-Blocks-Weekday-50,10761548-132-Blocks-Weekday-50,"San Francisco",3981032,0,,3980226
398-180,132-Blocks-Weekday-50,10761549-132-Blocks-Weekday-50,"San Francisco",3981034,0,,3980226
398-180,132-Blocks-Weekday-50,10761550-132-Blocks-Weekday-50,"Redwood City",3981001,1,,3980228
398-180,132-Blocks-Weekday-50,10761551-132-Blocks-Weekday-50,"Redwood City",3981003,1,,3980228
398-180,132-Blocks-Weekday-50,10761552-132-Blocks-Weekday-50,"Redwood City",3981005,1,,3980228
398-180,132-Blocks-Weekday-50,10761553-132-Blocks-Weekday-50,"Redwood City",3981007,1,,3980228
398-180,132-Blocks-Weekday-50,10761554-132-Blocks-Weekday-50,"Redwood City",3981009,1,,3980228
398-180,132-Blocks-Weekday-50,10761555-132-Blocks-Weekday-50,"Redwood City",3981011,1,,3980228
398-180,132-Blocks-Weekday-50,10761556-132-Blocks-Weekday-50,"Redwood City",3981013,1,,3980228
398-180,132-Blocks-Weekday-50,10761557-132-Blocks-Weekday-50,"Redwood City",3981015,1,,3980228
398-180,132-Blocks-Weekday-50,10761558-132-Blocks-Weekday-50,"Redwood City",3981017,1,,3980228
398-180,132-Blocks-Weekday-50,10761559-132-Blocks-Weekday-50,"Redwood City",3981019,1,,3980228
398-180,132-Blocks-Weekday-50,10761560-132-Blocks-Weekday-50,"Redwood City",3981021,1,,3980228
398-180,132-Blocks-Weekday-50,10761561-132-Blocks-Weekday-50,"Redwood City",3981023,1,,3980228
398-180,132-Blocks-Weekday-50,10761562-132-Blocks-Weekday-50,"Redwood City",3981025,1,,3980228
398-180,132-Blocks-Weekday-50,10761563-132-Blocks-Weekday-50,"Redwood City",3981027,1,,3980228
398-180,132-Blocks-Weekday-50,10761564-132-Blocks-Weekday-50,"Redwood City",3981029,1,,3980228
398-180,132-Blocks-Weekday-50,10761565-132-Blocks-Weekday-50,"Redwood City",3981031,1,,3980228
294-180,132-Blocks-Weekday-50,10761566-132-Blocks-Weekday-50,"San Mateo Medical Center",2941002,0,,2940134
294-180,132-Blocks-Weekday-50,10761567-132-Blocks-Weekday-50,"San Mateo Medical Center",2941004,0,,2940134
294-180,132-Blocks-Weekday-50,10761568-132-Blocks-Weekday-50,"San Mateo Medical Center",2941030,0,,2940134
294-180,132-Blocks-Weekday-50,10761569-132-Blocks-Weekday-50,"San Mateo Medical Center",2941006,0,,2940134
294-180,132-Blocks-Weekday-50,10761570-132-Blocks-Weekday-50,"San Mateo Medical Center",2941028,0,,2940134
294-180,132-Blocks-Weekday-50,10761571-132-Blocks-Weekday-50,"San Mateo Medical Center",2941008,0,,2940134
294-180,132-Blocks-Weekday-50,10761572-132-Blocks-Weekday-50,"San Mateo Medical Center",2941010,0,,2940134
294-180,132-Blocks-Weekday-50,10761573-132-Blocks-Weekday-50,"San Mateo Medical Center",2941012,0,,2940134
294-180,132-Blocks-Weekday-50,10761574-132-Blocks-Weekday-50,"San Mateo Medical Center",2941026,0,,2940134
294-180,132-Blocks-Weekday-50,10761575-132-Blocks-Weekday-50,"San Mateo Medical Center",2941024,0,,2940134
294-180,132-Blocks-Weekday-50,10761576-132-Blocks-Weekday-50,"San Mateo Medical Center",2941014,0,,2940134
294-180,132-Blocks-Weekday-50,10761577-132-Blocks-Weekday-50,"San Mateo Medical Center",2941016,0,,2940134
294-180,132-Blocks-Weekday-50,10761578-132-Blocks-Weekday-50,"San Mateo Medical Center",2941018,0,,2940134
294-180,132-Blocks-Weekday-50,10761579-132-Blocks-Weekday-50,"San Mateo Medical Center",2941020,0,,2940134
294-180,132-Blocks-Weekday-50,10761580-132-Blocks-Weekday-50,"San Mateo Medical Center",2941022,0,,2940134
294-180,132-Blocks-Weekday-50,10761581-132-Blocks-Weekday-50,"Main/Poplar",2941001,1,,2940172
294-180,132-Blocks-Weekday-50,10761582-132-Blocks-Weekday-50,"Main/Poplar",2941003,1,,2940172
294-180,132-Blocks-Weekday-50,10761583-132-Blocks-Weekday-50,"Main/Poplar",2941005,1,,2940172
294-180,132-Blocks-Weekday-50,10761584-132-Blocks-Weekday-50,"Main/Poplar",2941007,1,,2940172
294-180,132-Blocks-Weekday-50,10761585-132-Blocks-Weekday-50,"Main/Poplar",2941009,1,,2940172
294-180,132-Blocks-Weekday-50,10761586-132-Blocks-Weekday-50,"Main/Poplar",2941011,1,,2940172
294-180,132-Blocks-Weekday-50,10761587-132-Blocks-Weekday-50,"Main/Poplar",2941013,1,,2940172
294-180,132-Blocks-Weekday-50,10761588-132-Blocks-Weekday-50,"Main/Poplar",2941015,1,,2940172
294-180,132-Blocks-Weekday-50,10761589-132-Blocks-Weekday-50,"Main/Poplar",2941017,1,,2940172
294-180,132-Blocks-Weekday-50,10761590-132-Blocks-Weekday-50,"Main/Poplar",2941019,1,,2940172
294-180,132-Blocks-Weekday-50,10761591-132-Blocks-Weekday-50,"Main/Poplar",2941021,1,,2940172
294-180,132-Blocks-Weekday-50,10761592-132-Blocks-Weekday-50,"Main/Poplar",2941023,1,,2940172
294-180,132-Blocks-Weekday-50,10761593-132-Blocks-Weekday-50,"Main/Poplar",2941025,1,,2940172
294-180,132-Blocks-Weekday-50,10761594-132-Blocks-Weekday-50,"Main/Poplar",2941027,1,,2940172
294-180,132-Blocks-Weekday-50,10761595-132-Blocks-Weekday-50,"Main/Poplar",2941029,1,,2940172
281-180,132-Blocks-Weekday-50,10761628-132-Blocks-Weekday-50,"Onetta Harris Center",2811002,0,,2810256
281-180,132-Blocks-Weekday-50,10761629-132-Blocks-Weekday-50,"Onetta Harris Center",2811004,0,,2810256
281-180,132-Blocks-Weekday-50,10761630-132-Blocks-Weekday-50,"Onetta Harris Center",2811006,0,,2810256
281-180,132-Blocks-Weekday-50,10761631-132-Blocks-Weekday-50,"Onetta Harris Center",2811008,0,,2810256
281-180,132-Blocks-Weekday-50,10761632-132-Blocks-Weekday-50,"Onetta Harris Center",2811010,0,,2810256
281-180,132-Blocks-Weekday-50,10761633-132-Blocks-Weekday-50,"Onetta Harris Center",2811012,0,,2810256
281-180,132-Blocks-Weekday-50,10761634-132-Blocks-Weekday-50,"Onetta Harris Center",2811014,0,,2810256
281-180,132-Blocks-Weekday-50,10761635-132-Blocks-Weekday-50,"Onetta Harris Center",2811024,0,,2810256
281-180,132-Blocks-Weekday-50,10761636-132-Blocks-Weekday-50,"Onetta Harris Center",2811016,0,,2810256
281-180,132-Blocks-Weekday-50,10761637-132-Blocks-Weekday-50,"Onetta Harris Center",2811018,0,,2810256
281-180,132-Blocks-Weekday-50,10761638-132-Blocks-Weekday-50,"Onetta Harris Center",2811020,0,,2810256
281-180,132-Blocks-Weekday-50,10761639-132-Blocks-Weekday-50,"Onetta Harris Center",2811022,0,,2810256
281-180,132-Blocks-Weekday-50,10761640-132-Blocks-Weekday-50,"Stanford Mall",2811001,1,,2810257
281-180,132-Blocks-Weekday-50,10761641-132-Blocks-Weekday-50,"Stanford Mall",2811003,1,,2810257
281-180,132-Blocks-Weekday-50,10761642-132-Blocks-Weekday-50,"Stanford Mall",2811005,1,,2810257
281-180,132-Blocks-Weekday-50,10761643-132-Blocks-Weekday-50,"Stanford Mall",2811007,1,,2810257
281-180,132-Blocks-Weekday-50,10761644-132-Blocks-Weekday-50,"Stanford Mall",2811009,1,,2810257
281-180,132-Blocks-Weekday-50,10761645-132-Blocks-Weekday-50,"Stanford Mall",2811011,1,,2810257
281-180,132-Blocks-Weekday-50,10761646-132-Blocks-Weekday-50,"Stanford Mall",2811013,1,,2810257
281-180,132-Blocks-Weekday-50,10761647-132-Blocks-Weekday-50,"Stanford Mall",2811015,1,,2810257
281-180,132-Blocks-Weekday-50,10761648-132-Blocks-Weekday-50,"Stanford Mall",2811017,1,,2810257
281-180,132-Blocks-Weekday-50,10761649-132-Blocks-Weekday-50,"Stanford Mall",2811019,1,,2810257
281-180,132-Blocks-Weekday-50,10761650-132-Blocks-Weekday-50,"Stanford Mall",2811021,1,,2810257
281-180,132-Blocks-Weekday-50,10761651-132-Blocks-Weekday-50,"Stanford Mall",2811023,1,,2810257
280-180,132-Blocks-Weekday-50,10761652-132-Blocks-Weekday-50,"Purdue/Fordham",2801002,0,,2800210
280-180,132-Blocks-Weekday-50,10761653-132-Blocks-Weekday-50,"Purdue/Fordham",2801004,0,,2800196
280-180,132-Blocks-Weekday-50,10761654-132-Blocks-Weekday-50,"Purdue/Fordham",2801006,0,,2800196
280-180,132-Blocks-Weekday-50,10761655-132-Blocks-Weekday-50,"Purdue/Fordham",2801008,0,,2800196
280-180,132-Blocks-Weekday-50,10761656-132-Blocks-Weekday-50,"Purdue/Fordham",2801010,0,,2800196
280-180,132-Blocks-Weekday-50,10761657-132-Blocks-Weekday-50,"Purdue/Fordham",2801012,0,,2800196
280-180,132-Blocks-Weekday-50,10761658-132-Blocks-Weekday-50,"Purdue/Fordham",2801014,0,,2800196
280-180,132-Blocks-Weekday-50,10761659-132-Blocks-Weekday-50,"Purdue/Fordham",2801016,0,,2800196
280-180,132-Blocks-Weekday-50,10761660-132-Blocks-Weekday-50,"Purdue/Fordham",2801018,0,,2800196
280-180,132-Blocks-Weekday-50,10761661-132-Blocks-Weekday-50,"Purdue/Fordham",2801020,0,,2800196
280-180,132-Blocks-Weekday-50,10761662-132-Blocks-Weekday-50,"Purdue/Fordham",2801024,0,,2800196
280-180,132-Blocks-Weekday-50,10761663-132-Blocks-Weekday-50,"Purdue/Fordham",2801022,0,,2800196
280-180,132-Blocks-Weekday-50,10761664-132-Blocks-Weekday-50,"Stanford Mall",2801001,1,,2800209
280-180,132-Blocks-Weekday-50,10761665-132-Blocks-Weekday-50,"Stanford Mall",2801003,1,,2800209
280-180,132-Blocks-Weekday-50,10761666-132-Blocks-Weekday-50,"Stanford Mall",2801005,1,,2800209
280-180,132-Blocks-Weekday-50,10761667-132-Blocks-Weekday-50,"Stanford Mall",2801007,1,,2800209
280-180,132-Blocks-Weekday-50,10761668-132-Blocks-Weekday-50,"Stanford Mall",2801009,1,,2800209
280-180,132-Blocks-Weekday-50,10761669-132-Blocks-Weekday-50,"Stanford Mall",2801011,1,,2800209
280-180,132-Blocks-Weekday-50,10761670-132-Blocks-Weekday-50,"Stanford Mall",2801013,1,,2800209
280-180,132-Blocks-Weekday-50,10761671-132-Blocks-Weekday-50,"Stanford Mall",2801015,1,,2800209
280-180,132-Blocks-Weekday-50,10761672-132-Blocks-Weekday-50,"Stanford Mall",2801017,1,,2800209
280-180,132-Blocks-Weekday-50,10761673-132-Blocks-Weekday-50,"Stanford Mall",2801019,1,,2800209
280-180,132-Blocks-Weekday-50,10761674-132-Blocks-Weekday-50,"Stanford Mall",2801021,1,,2800209
280-180,132-Blocks-Weekday-50,10761675-132-Blocks-Weekday-50,"Stanford Mall",2801023,1,,2800209
270-180,132-Blocks-Weekday-50,10761676-132-Blocks-Weekday-50,"Redwood City Transit Center - Loop",2701003,1,,2700115
270-180,132-Blocks-Weekday-50,10761677-132-Blocks-Weekday-50,"Redwood City Transit Center - Loop",2701005,1,,2700115
270-180,132-Blocks-Weekday-50,10761678-132-Blocks-Weekday-50,"Redwood City Transit Center - Loop",2701007,1,,2700115
270-180,132-Blocks-Weekday-50,10761679-132-Blocks-Weekday-50,"Redwood City Transit Center - Loop",2701009,1,,2700115
270-180,132-Blocks-Weekday-50,10761680-132-Blocks-Weekday-50,"Redwood City Transit Center - Loop",2701011,1,,2700115
270-180,132-Blocks-Weekday-50,10761681-132-Blocks-Weekday-50,"Redwood City Transit Center - Loop",2701013,1,,2700115
270-180,132-Blocks-Weekday-50,10761682-132-Blocks-Weekday-50,"Redwood City Transit Center - Loop",2701015,1,,2700115
270-180,132-Blocks-Weekday-50,10761683-132-Blocks-Weekday-50,"Redwood City Transit Center - Loop",2701017,1,,2700115
270-180,132-Blocks-Weekday-50,10761684-132-Blocks-Weekday-50,"Redwood City Transit Center - Loop",2701019,1,,2700115
270-180,132-Blocks-Weekday-50,10761685-132-Blocks-Weekday-50,"Redwood City Transit Center - Loop",2701021,1,,2700115
270-180,132-Blocks-Weekday-50,10761686-132-Blocks-Weekday-50,"Redwood City Transit Center - Loop",2701023,1,,2700115
270-180,132-Blocks-Weekday-50,10761687-132-Blocks-Weekday-50,"Redwood City Transit Center - Loop",2701025,1,,2700115
270-180,132-Blocks-Weekday-50,10761692-132-Blocks-Weekday-50,"Redwood City Transit Center - Loop",2701001,1,,2700115
260-180,132-Blocks-Weekday-50,10761693-132-Blocks-Weekday-50,"San Carlos Caltrain",2601005,0,,2600337
260-180,132-Blocks-Weekday-50,10761694-132-Blocks-Weekday-50,"San Carlos Caltrain",2601007,0,,2600337
260-180,132-Blocks-Weekday-50,10761695-132-Blocks-Weekday-50,"San Carlos Caltrain",2601009,0,,2600337
260-180,132-Blocks-Weekday-50,10761696-132-Blocks-Weekday-50,"San Carlos Caltrain",2601011,0,,2600337
260-180,132-Blocks-Weekday-50,10761697-132-Blocks-Weekday-50,"San Carlos Caltrain",2601013,0,,2600337
260-180,132-Blocks-Weekday-50,10761698-132-Blocks-Weekday-50,"San Carlos Caltrain",2601027,0,,2600337
260-180,132-Blocks-Weekday-50,10761699-132-Blocks-Weekday-50,"San Carlos Caltrain",2601015,0,,2600337
260-180,132-Blocks-Weekday-50,10761700-132-Blocks-Weekday-50,"San Carlos Caltrain",2601017,0,,2600337
260-180,132-Blocks-Weekday-50,10761701-132-Blocks-Weekday-50,"San Carlos Caltrain",2601019,0,,2600337
260-180,132-Blocks-Weekday-50,10761702-132-Blocks-Weekday-50,"San Carlos Caltrain",2601021,0,,2600337
260-180,132-Blocks-Weekday-50,10761703-132-Blocks-Weekday-50,"San Carlos Caltrain",2601025,0,,2600337
260-180,132-Blocks-Weekday-50,10761704-132-Blocks-Weekday-50,"San Carlos Caltrain",2601023,0,,2600337
260-180,132-Blocks-Weekday-50,10761705-132-Blocks-Weekday-50,"Polhemus/",2601006,1,,2600338
260-180,132-Blocks-Weekday-50,10761706-132-Blocks-Weekday-50,"Polhemus/",2601008,1,,2600338
260-180,132-Blocks-Weekday-50,10761707-132-Blocks-Weekday-50,"Polhemus/",2601010,1,,2600338
260-180,132-Blocks-Weekday-50,10761708-132-Blocks-Weekday-50,"Polhemus/",2601012,1,,2600338
260-180,132-Blocks-Weekday-50,10761709-132-Blocks-Weekday-50,"Polhemus/",2601014,1,,2600338
260-180,132-Blocks-Weekday-50,10761710-132-Blocks-Weekday-50,"Polhemus/",2601016,1,,2600338
260-180,132-Blocks-Weekday-50,10761711-132-Blocks-Weekday-50,"Polhemus/",2601018,1,,2600338
260-180,132-Blocks-Weekday-50,10761712-132-Blocks-Weekday-50,"Polhemus/",2601020,1,,2600338
260-180,132-Blocks-Weekday-50,10761713-132-Blocks-Weekday-50,"Polhemus/",2601022,1,,2600338
260-180,132-Blocks-Weekday-50,10761714-132-Blocks-Weekday-50,"Polhemus/",2601024,1,,2600338
260-180,132-Blocks-Weekday-50,10761715-132-Blocks-Weekday-50,"Polhemus/",2601026,1,,2600338
260-180,132-Blocks-Weekday-50,10761716-132-Blocks-Weekday-50,"Polhemus/",2601028,1,,2600338
260-180,132-Blocks-Weekday-50,10761728-132-Blocks-Weekday-50,"Polhemus/",2601002,1,,2600338
260-180,132-Blocks-Weekday-50,10761729-132-Blocks-Weekday-50,"Polhemus/",2601004,1,,2600338
260-180,132-Blocks-Weekday-50,10761730-132-Blocks-Weekday-50,"San Carlos Caltrain",2601001,0,,2600337
260-180,132-Blocks-Weekday-50,10761731-132-Blocks-Weekday-50,"San Carlos Caltrain",2601003,0,,2600337
256-180,132-Blocks-Weekday-50,10761732-132-Blocks-Weekday-50,"Foster City",2561004,0,,2560178
256-180,132-Blocks-Weekday-50,10761733-132-Blocks-Weekday-50,"Foster City",2561006,0,,2560178
256-180,132-Blocks-Weekday-50,10761734-132-Blocks-Weekday-50,"Foster City",2561008,0,,2560178
256-180,132-Blocks-Weekday-50,10761735-132-Blocks-Weekday-50,"Foster City",2561010,0,,2560178
256-180,132-Blocks-Weekday-50,10761736-132-Blocks-Weekday-50,"Foster City",2561016,0,,2560178
256-180,132-Blocks-Weekday-50,10761737-132-Blocks-Weekday-50,"Foster City",2561012,0,,2560178
256-180,132-Blocks-Weekday-50,10761738-132-Blocks-Weekday-50,"Foster City",2561014,0,,2560178
256-180,132-Blocks-Weekday-50,10761739-132-Blocks-Weekday-50,"Hillsdale Mall",2561003,1,,2560173
256-180,132-Blocks-Weekday-50,10761740-132-Blocks-Weekday-50,"Hillsdale Mall",2561005,1,,2560173
256-180,132-Blocks-Weekday-50,10761741-132-Blocks-Weekday-50,"Hillsdale Mall",2561007,1,,2560173
256-180,132-Blocks-Weekday-50,10761742-132-Blocks-Weekday-50,"Hillsdale Mall",2561009,1,,2560173
256-180,132-Blocks-Weekday-50,10761743-132-Blocks-Weekday-50,"Hillsdale Mall",2561011,1,,2560173
256-180,132-Blocks-Weekday-50,10761744-132-Blocks-Weekday-50,"Hillsdale Mall",2561013,1,,2560173
256-180,132-Blocks-Weekday-50,10761745-132-Blocks-Weekday-50,"Hillsdale Mall",2561015,1,,2560173
256-180,132-Blocks-Weekday-50,10761748-132-Blocks-Weekday-50,"Foster City",2561002,0,,2560178
256-180,132-Blocks-Weekday-50,10761749-132-Blocks-Weekday-50,"Hillsdale Mall",2561001,1,,2560173
251-180,132-Blocks-Weekday-50,10761750-132-Blocks-Weekday-50,"Foster City",2511002,0,,2510121
251-180,132-Blocks-Weekday-50,10761751-132-Blocks-Weekday-50,"Foster City",2511004,0,,2510121
251-180,132-Blocks-Weekday-50,10761752-132-Blocks-Weekday-50,"Foster City",2511012,0,,2510121
251-180,132-Blocks-Weekday-50,10761753-132-Blocks-Weekday-50,"Foster City",2511006,0,,2510121
